trackingdesk	http://www.trackingdesk.com	[advertiser-campaign-management]
vistar-media	http://www.vistarmedia.com/	[advertiser-campaign-management, mobile-advertising]
the-mobile-majority	https://www.majority.co/mobile-ad-platform/	[advertiser-campaign-management, mobile-advertising]
verve	http://www.vervemobile.com/	[advertiser-campaign-management, mobile-advertising]
cidewalk	https://www.cidewalk.com	[advertiser-campaign-management, mobile-advertising]
thalamus	http://www.thalamus.co	[advertiser-campaign-management, mobile-advertising]
apple-iad	http://advertising.apple.com/	[advertiser-campaign-management, publisher-ad-management, mobile-advertising]
flurry-ads	http://www.flurry.com/	[advertiser-campaign-management, publisher-ad-management, mobile-advertising]
adcolony	http://www.adcolony.com/advertise/	[advertiser-campaign-management, publisher-ad-management, mobile-advertising]
doubleclick-for-publishers	https://www.doubleclickbygoogle.com/solutions/revenue-management/	[publisher-ad-management]
rubicon-project-seller-cloud	http://www.rubiconproject.com/seller-cloud/	[publisher-ad-management]
liverail	http://www.liverail.com/	[publisher-ad-management]
openx	http://openx.com/	[publisher-ad-management]
pubmatic	http://www.pubmatic.com/index-eng.php	[publisher-ad-management]
yahoo-ad-exchange	https://advertising.yahoo.com/publishers/index.htm	[publisher-ad-management]
brightroll-for-publishers	http://www.brightroll.com/solutions/for-publishers	[publisher-ad-management]
a-mo-bee-for-publishers	http://www.amobee.com/	[publisher-ad-management]
adjuggler	http://www.adjuggler.com/	[publisher-ad-management]
marketplace-by-adtech	http://www.marketplacebyadtech.com/publishers/publisher-overview	[publisher-ad-management]
zedo	http://www.zedo.com/	[publisher-ad-management]
sovrn	http://www.sovrn.com/	[publisher-ad-management]
media-net	http://www.media.net/	[publisher-ad-management]
installrevenue	http://www.installrevenue.com/	[publisher-ad-management]
vertamedia	http://vertamedia.com/	[publisher-ad-management]
fyber	http://www.fyber.com/	[publisher-ad-management]
perion-code-fuel	http://www.perion.com/monetization/	[publisher-ad-management]
webinstall	http://www.webinstall.com/	[publisher-ad-management]
hiroad	http://www.hiro-media.com/	[publisher-ad-management]
boostable	https://www.boostable.com/	[publisher-ad-management]
djax-mobile-ad-server	http://www.djaxadserver.com/djax_mobile_adserver.php	[publisher-ad-management]
adform-for-publishers	http://adform.com	[publisher-ad-management]
adgear-publisher	http://adgear.com/solutions/publishers/	[publisher-ad-management]
avantlink	http://www.avantlink.com/	[publisher-ad-management]
hydra-platform	http://q1media.com/hydra-platform	[publisher-ad-management]
smart-adserver	http://smartadserver.com/	[publisher-ad-management]
sas-intelligent-advertising-for-publishers	http://www.sas.com/en_us/software/customer-intelligence/ad-server.html	[publisher-ad-management]
gtxcel	http://www.gtxcel.com/monetization/	[publisher-ad-management]
altitude-for-publishers	http://www.altitudedigital.com/publishers/	[publisher-ad-management]
broadstreet	http://broadstreetads.com/	[publisher-ad-management]
yume-for-publishers	http://www.yume.com/solutions/yfp	[publisher-ad-management]
clickky	http://clickky.biz/	[publisher-ad-management]
chartboost	https://www.chartboost.com/	[publisher-ad-management]
mopub	http://www.mopub.com/	[publisher-ad-management]
google-admob	https://www.google.com/admob/	[publisher-ad-management]
unity-ads	https://unity3d.com/services/ads	[publisher-ad-management]
facebook-audience-network	https://developers.facebook.com/docs/audience-network	[publisher-ad-management]
convertmedia-ssp	http://convertmedia.com/gallery/	[publisher-ad-management]
comscore	http://www.comscore.com/products/enterprise-analytics/digital-analytix-enterprise	[other-digital-advertising]
spongecell	http://www.spongecell.com/	[other-digital-advertising]
marilyn	http://www.mymarilyn.eu	[other-digital-advertising]
pointroll	http://www.pointroll.com/	[other-digital-advertising]
liveintent	http://liveintent.com/	[other-digital-advertising]
true-x	http://www.truex.com/	[other-digital-advertising]
whatrunswhere	https://www.whatrunswhere.com/	[other-digital-advertising]
talkingdata	https://www.talkingdata.com/	[other-digital-advertising]
advids	http://www.advids.co	[other-digital-advertising]
reachdynamics	http://www.reachdynamics.com/	[other-digital-advertising]
digital-social-retail	http://www.digitalsocialretail.com/	[other-digital-advertising]
tweetrocket	https://tweetrocket.co/	[other-digital-advertising]
adbeat	http://www.adbeat.com/	[other-digital-advertising]
branded-mini-games	http://www.brandedminigames.com/	[other-digital-advertising]
buynow	http://www.buynowworldwide.com/	[other-digital-advertising]
cake	http://getcake.com	[other-digital-advertising]
flexoffers-com	http://www.flexoffers.com/	[other-digital-advertising]
fraudlogix	http://fraudlogix.com/	[other-digital-advertising]
forensiq	http://forensiq.com/	[other-digital-advertising]
intenta	http://www.intenta.io/#intro	[other-digital-advertising]
mezzobit	http://www.mezzobit.com/	[other-digital-advertising]
adclarity	http://www.adclarity.com/lp/find-all-sites/?utm_source=g2crowed&amp;utm_medium=cpc&amp;utm_campaign=free%20listing	[other-digital-advertising]
webmoblink	http://www.webmoblink.com/	[other-digital-advertising]
adsavvy	http://savvyads.com	[other-digital-advertising]
celtra	http://www.celtra.com/	[other-digital-advertising]
affdex	http://www.affectiva.com/solutions/affdex/	[other-digital-advertising]
kvantum-dmmm	http://kvantuminc.com/	[other-digital-advertising]
bannerflow	http://www.bannerflow.com	[other-digital-advertising]
mylikes	https://mylikes.com/	[other-digital-advertising]
360pi	http://360pi.com/brands/#product	[other-digital-advertising]
tidymktr	http://www.tidymktr.com	[other-digital-advertising]
brandingthemes	http://brandingthemes.com	[other-digital-advertising]
eltoro-com	http://www.eltoro.com	[other-digital-advertising]
adngin	http://www.adngin.com	[other-digital-advertising]
supick	https://www.supick.com	[other-digital-advertising]
axad	http://axadsystem.com/	[other-digital-advertising]
